Entity,Code,Year,"Suicide mortality rate per 100,000 population",Continent
Spain,ESP,2011,7.1,Europe
Sweden,SWE,2011,14.2,Europe
Ukraine,UKR,2011,23,Europe
United Kingdom,GBR,2011,8.3,Europe
Albania,ALB,2012,5.2,Europe
Armenia,ARM,2012,7.4,Europe
Austria,AUT,2012,16.3,Europe
Azerbaijan,AZE,2012,4.4,Europe
Belarus,BLR,2012,29.9,Europe
Belgium,BEL,2012,20.8,Europe
Bosnia and Herzegovina,BIH,2012,10.4,Europe
Bulgaria,BGR,2012,12.5,Europe
Croatia,HRV,2012,18.4,Europe
Cyprus,CYP,2012,5.4,Europe
Denmark,DNK,2012,12.8,Europe
Estonia,EST,2012,21.1,Europe
Finland,FIN,2012,17,Europe
France,FRA,2012,17.8,Europe
Georgia,GEO,2012,9.2,Europe
Germany,DEU,2012,12.9,Europe
Greece,GRC,2012,4.8,Europe
Hungary,HUN,2012,24.8,Europe
Iceland,ISL,2012,13.5,Europe
Ireland,IRL,2012,12.4,Europe
Italy,ITA,2012,7.6,Europe
Latvia,LVA,2012,23.5,Europe
Lithuania,LTU,2012,35,Europe
Luxembourg,LUX,2012,11.3,Europe
Malta,MLT,2012,6,Europe
Moldova,MDA,2012,17,Europe
Montenegro,MNE,2012,21,Europe
Netherlands,NLD,2012,10.7,Europe
Norway,NOR,2012,11.4,Europe
Poland,POL,2012,18.5,Europe
Portugal,PRT,2012,13.5,Europe
Romania,ROU,2012,12.6,Europe
Serbia,SRB,2012,18.2,Europe
Slovakia,SVK,2012,12.6,Europe
Slovenia,SVN,2012,22,Europe
Spain,ESP,2012,7.7,Europe
Sweden,SWE,2012,15,Europe
Switzerland,CHE,2012,14.7,Europe
Ukraine,UKR,2012,23.1,Europe
United Kingdom,GBR,2012,8.2,Europe
Albania,ALB,2013,5.3,Europe
Armenia,ARM,2013,6.4,Europe
Austria,AUT,2013,16.2,Europe
Azerbaijan,AZE,2013,4.3,Europe
Belarus,BLR,2013,27.9,Europe
Belgium,BEL,2013,19.5,Europe
Bosnia and Herzegovina,BIH,2013,10.6,Europe
Bulgaria,BGR,2013,10.5,Europe
Croatia,HRV,2013,16.5,Europe
Cyprus,CYP,2013,5.7,Europe
Denmark,DNK,2013,12.1,Europe
Estonia,EST,2013,18.9,Europe
Finland,FIN,2013,17.2,Europe
France,FRA,2013,17,Europe
Georgia,GEO,2013,9.8,Europe
Germany,DEU,2013,13.4,Europe
Greece,GRC,2013,5,Europe
Hungary,HUN,2013,22.1,Europe
Iceland,ISL,2013,13.9,Europe
Ireland,IRL,2013,11.4,Europe
Italy,ITA,2013,7.5,Europe
Latvia,LVA,2013,20.6,Europe
Lithuania,LTU,2013,40.5,Europe
Luxembourg,LUX,2013,11.3,Europe
Malta,MLT,2013,6.8,Europe
Moldova,MDA,2013,17,Europe
Montenegro,MNE,2013,20.4,Europe
Netherlands,NLD,2013,11.8,Europe
Poland,POL,2013,18.2,Europe
Portugal,PRT,2013,12.5,Europe
Romania,ROU,2013,12.2,Europe
Serbia,SRB,2013,17.9,Europe
Slovakia,SVK,2013,12.3,Europe
Slovenia,SVN,2013,22.2,Europe
Spain,ESP,2013,8.5,Europe
Sweden,SWE,2013,15.9,Europe
Ukraine,UKR,2013,22.6,Europe
United Kingdom,GBR,2013,8.8,Europe
Albania,ALB,2014,5,Europe
Armenia,ARM,2014,6.3,Europe
Austria,AUT,2014,16.5,Europe
Azerbaijan,AZE,2014,4.2,Europe
Belarus,BLR,2014,26.3,Europe
Belgium,BEL,2014,19.4,Europe
Bosnia and Herzegovina,BIH,2014,10.6,Europe
Bulgaria,BGR,2014,10.4,Europe
Croatia,HRV,2014,17.3,Europe
Cyprus,CYP,2014,5.4,Europe
Denmark,DNK,2014,12,Europe
Estonia,EST,2014,19.5,Europe
Finland,FIN,2014,15.4,Europe
France,FRA,2014,15.6,Europe
Georgia,GEO,2014,10.3,Europe
Germany,DEU,2014,13.4,Europe
Greece,GRC,2014,5.3,Europe
Hungary,HUN,2014,20.4,Europe
Ireland,IRL,2014,11,Europe
Italy,ITA,2014,7.2,Europe
Latvia,LVA,2014,20.7,Europe
Lithuania,LTU,2014,35.6,Europe
Luxembourg,LUX,2014,12.7,Europe
Malta,MLT,2014,7.1,Europe
Moldova,MDA,2014,17.2,Europe
Montenegro,MNE,2014,20.6,Europe
Netherlands,NLD,2014,11.6,Europe
Norway,NOR,2014,11.6,Europe
Poland,POL,2014,17.4,Europe
Portugal,PRT,2014,14.2,Europe
Romania,ROU,2014,11.3,Europe
Serbia,SRB,2014,17,Europe
Slovakia,SVK,2014,12.9,Europe
Slovenia,SVN,2014,19.6,Europe
Spain,ESP,2014,8.6,Europe
Sweden,SWE,2014,14.8,Europe
Switzerland,CHE,2014,14.7,Europe
Ukraine,UKR,2014,24.4,Europe
United Kingdom,GBR,2014,8.6,Europe
Albania,ALB,2015,4.8,Europe
Armenia,ARM,2015,6.2,Europe
Austria,AUT,2015,16,Europe
Azerbaijan,AZE,2015,4.1,Europe
Belarus,BLR,2015,24.3,Europe
Belgium,BEL,2015,18.6,Europe
Bosnia and Herzegovina,BIH,2015,10.7,Europe
Bulgaria,BGR,2015,9.8,Europe
Croatia,HRV,2015,17.6,Europe
Cyprus,CYP,2015,4.7,Europe
Denmark,DNK,2015,10.9,Europe
Estonia,EST,2015,15.9,Europe
Finland,FIN,2015,14,Europe
France,FRA,2015,15.8,Europe
Georgia,GEO,2015,10.5,Europe
Germany,DEU,2015,13.3,Europe
Greece,GRC,2015,5,Europe
Hungary,HUN,2015,19.9,Europe
Iceland,ISL,2015,14.3,Europe
Ireland,IRL,2015,9.3,Europe
Italy,ITA,2015,7.1,Europe
Latvia,LVA,2015,21.6,Europe
Lithuania,LTU,2015,34.9,Europe
Luxembourg,LUX,2015,12.2,Europe
Malta,MLT,2015,7.2,Europe
Moldova,MDA,2015,16.2,Europe
Montenegro,MNE,2015,20.7,Europe
Netherlands,NLD,2015,11.8,Europe
Norway,NOR,2015,12.5,Europe
Poland,POL,2015,15.9,Europe
Portugal,PRT,2015,13.2,Europe
Romania,ROU,2015,11.5,Europe
Serbia,SRB,2015,16.4,Europe
Slovakia,SVK,2015,12.4,Europe
Slovenia,SVN,2015,21,Europe
Spain,ESP,2015,7.9,Europe
Sweden,SWE,2015,15.7,Europe
Switzerland,CHE,2015,15,Europe
Ukraine,UKR,2015,21.6,Europe
United Kingdom,GBR,2015,8.8,Europe
Albania,ALB,2016,4.7,Europe
Armenia,ARM,2016,5.7,Europe
Austria,AUT,2016,15.5,Europe
Azerbaijan,AZE,2016,4,Europe
